,product_name,price
12,Фруктовый лед Бон Пари Взрывный ураган 2.9% 54мл,"49,9 /шт"
13,Мороженое Даша Сливочное ванильное с карамелью и арахисом 70г,41 /шт
14,Мороженое Чистая Линия пломбир ванильный 12% 200г,"184,9 /шт"
15,Мороженое Филевское Щербет Смородина 1% 80г,"41,9 /шт"
16,Мороженое Петрохолод Пломбир Ванильный 15% 220г,"139,9 /шт"
17,Мороженое Чистая Линия Эскимо Российское 80г,"99,9 /шт"
18,Мороженое Чистая линия пломбир ванильный в вафельном стаканчике 80г,"70,9 /шт"
19,Мороженое Чистая Линия Пломбироешка ванильное 12% 450г,"299,9 /шт"
20,Мороженое Золотой стандарт Пломбир с черникой в вафельном стаканчике 12% 89г,"39,9 /шт"
21,Мороженое Чистая Линия Пломбир в бельгийском шоколаде с клюквой 12% 80г,"176,9 /шт"
22,Мороженое 48 Копеек Шоколадная Прага 8% 432г,"477,9 /шт"
23,Мороженое Чистая Линия пломбир крем-брюле 12% 200г,"184,9 /шт"
24,Мороженое Петрохолод Пломбир Ванильный с шоколадной крошкой 15% 400г,255 /шт
25,Мороженое Чистая Линия Эскимо Пломбир в апельсиновом соке 70г,"95,9 /шт"
26,Мороженое Чистая Линия Пломбир Ванильный в шоколадной глазури в сахарном рожке 12% 70г,"104,9 /шт"
27,Мороженое Как раньше Пломбир Ваниль в рожке 100г,"75,9 /шт"
28,Мороженое Дед Мороз Ванильное в вафельном стаканчике 70г,"19,9 /шт"
29,Мороженое Петрохолод Как раньше пломбир со вкусом вишни 90г,"65,9 /шт"
0,Фруктовый лед Инмарко Max Slime со вкусом яблока и ананаса 54г,"33,9 /шт"
1,Мороженое Петрохолод Пломбир на сливках Шоколадный 400г,279 /шт
2,Мороженое Ekzo Молочное Драгонфрут-гуанабана 70г,"89,9 /шт"
3,Мороженое Петрохолод Пломбир Клубника со сливками 13% 400г,215 /шт
4,Мороженое Золотой Стандарт Пломбир Классический 12% 86г,"53,9 /шт"
5,Мороженое Магнат Эскимо сливочное с миндалем 8% 73г,"104,9 /шт"
6,Мороженое Главхолод Пломбир шоколадный 200г,"99,9 /шт"
7,Мороженое Ленинградский Хладокомбинат №1 Сахарная трубочка Пломбир крем-брюле 70г,"55,9 /шт"
8,Мороженое 48 Копеек Пломбир 12% 419г,"396,9 /шт"
9,Мороженое Хладокомбинат №1 Пломбир с черной смородиной 12% 180г,"89,9 /шт"
10,Мороженое Сарафаново Пломбир Ванильный в стаканчике 15% 90г,"55,9 /шт"
11,Мороженое Чистая Линия пломбир ванильный в вафельном рожке 110г,"134,9 /шт"
12,Мороженое Жемчужина России Пломбир миндаль с карамельным соусом 400г,"295,9 /шт"
13,Мороженое Чистая Линия Пломбироешка крем-брюле 12% 450г,"578,9 /шт"
14,Мороженое Мишка на Полюсе Сахарный стаканчик Пломбир шоколадный 70г,46 /шт
15,Мороженое Как раньше Пломбир Крем-брюле 80г,"65,9 /шт"
16,Мороженое Айсберри Филевский пломбир 450г,"268,9 /шт"
17,Мороженое Магнат Эскимо сливочное с Манго красные ягоды в белом шоколаде 74г,"104,9 /шт"
18,Мороженое Жемчужина России Рулет пломбир с шоколадным топингом 400г,"297,9 /шт"
19,Мороженое Baskin Robbins Клубничное Отличное 500мл,"563,9 /шт"
20,Мороженое Чистая Линия Радуга Пломбир Ванильный 11.2% 90г,"101,9 /шт"
21,Мороженое Чистая Линия Малиновый кактус пломбир ванильный в глазури 80г,"129,9 /шт"
22,Мороженое Baskin Robbins Шоколадная крошка 500мл,"563,9 /шт"
23,Мороженое Петрохолод Пломбир Strawberry & Cream 350г,"323,9 /шт"
24,Мороженое Свитлогорье Пломбир с ванилью 15% 80г,"77,9 /шт"
25,Мороженое Инмарко Джемка эскимо в глазури с йогуртом с манго 57г,"37,9 /шт"
26,Мороженое Ленинградский Хладокомбинат №1 Пломбир шоколадный в вафельном стаканчике 70г,"41,9 /шт"
27,Мороженое Чистая Линия пломбир шоколадный 12% 200г,"199,9 /шт"
28,Мороженое Б.Ю.Александров Пломбир ванильный эскимо в молочном шоколаде 80г,"112,9 /шт"
29,Мороженое Чистая линия Сахарный рожок Пломбир Радуга 110г,"119,9 /шт"
0,Мороженое Чистая Линия Радуга пломбир ванильный четырехслойный 200г,"199,9 /шт"
1,Мороженое Сарафаново Пломбир Шоколадный в стаканчике 15% 90г,"63,9 /шт"
2,Мороженое Сарафаново Пломбир Крем-брюле в стаканчике 15% 90г,"51,9 /шт"
3,Мороженое Мороженое Эkzo Эскимо в фруктовой глазури Манго-Малина 70г,"79,9 /шт"
4,Мороженое 48 Копеек Шоколадное с шоколадным соусом 8% 232г,"149,9 /шт"
5,Мороженое Вологодский Пломбир Шоколадный в вафельном стаканчике 12% 100г,"69,9 /шт"
6,Мороженое Movenpick Сливочное Swiss chocolate 10.2% 276г,"629,9 /шт"
7,Мороженое Milka Эскимо Ванильное с молочным шоколадом 62г,"107,9 /шт"
8,Десерт Чистая Линия Спиролло клубничный замороженный 60г,"75,9 /шт"
9,Мороженое 48 Копеек Пломбир 13.3% 210г,"144,9 /шт"
10,Мороженое Чистая Линия Пломбир Крем-брюле в вафельном стаканчике 12% 80г,"109,9 /шт"
11,Мороженое Петрохолод Пломбир Latte & Caramel 300г,"328,9 /шт"
12,Щербет Филевское мороженое Клюква 1% 80г,"57,9 /шт"
13,Мороженое Чистая Линия Сахарный рожок Пломбир Ванильный 12% 110г,"123,9 /шт"
14,Мороженое Магнат Мини Миндаль Шоколадный трюфель и Брюнетка 6шт*49г,"398,9 /шт"
15,Мороженое Вологодский пломбир брикет на вафлях 90г,"70,9 /шт"
16,Мороженое Чистая Линия Пломбир Фисташковый в сахарном рожке 12% 110г,"115,9 /шт"
17,Мороженое Филевское Пломбир эскимо 80г,"59,9 /шт"
18,Мороженое Хладокомбинат N1 Сахарная трубочка Пломбир с черной смородиной 70г,"55,9 /шт"
19,Мороженое Вологодский Пломбир с вареной сгущенкой 80г,"69,9 /шт"
20,Мороженое Baskin Robbins Сливки с печеньем 1л,"659,9 /шт"
21,Мороженое Бон Пари Дракула фруктовый лед Клубнично-ежевичное 60г,"49,9 /шт"
22,Мороженое Петрохолод Пломбир Cherry & Chocolate 300г,"328,9 /шт"
23,Мороженое Жемчужина России Миндаль с карамельным соусом 80г,"65,9 /шт"
24,Мороженое Филевское Пломбир Пралине с грецким орехом и мягкой карамелью 550г,374 /шт
25,Десерт Чистая Линия Спиролло апельсиновый замороженный 60г,"75,9 /шт"
26,Мороженое Чистая Линия Радуга Пломбир Ванильный 90г,"107,9 /шт"
27,Мороженое Вологодский пломбир Эскимо в шоколадной глазури с фундуком 15% 75г,"93,9 /шт"
28,Десерт Зеленая линия Сорбет Малиновый 75г,"119,9 /шт"
29,Мороженое Балтийское сливочное ванильное в вафельном стаканчике 70г,"41,9 /шт"
0,Мороженое Movenpick Swiss Chocolate сливочное с швейцарским шоколадом и  шоколадным соусом 10.2% 2.4%,2 159 /шт
1,Мороженое Хладокомбинат №1 Пломбир на сливках 12% 180г,"89,9 /шт"
2,Мороженое Valio пломбир эскимо с ароматом ванили с малиной в молочном шоколаде 80г,"41,9 /шт"
3,Мороженое Хладокомбинат №1 Пломбир Ванильный на сливках 12% 70г,"41,9 /шт"
4,Мороженое Хладокомбинат №1 Пломбир на сливках Крем-брюле 12% 70г,"99,9 /шт"
5,Мороженое Зеленая Линия сливочное Мятное с брауни 10% 75г,"578,9 /шт"
6,Мороженое Movenpick Пломбир Maple walnut 12% 298г,"159,9 /шт"
7,Мороженое 48 Копеек Пломбир Черная смородина 224г,"112,9 /шт"
8,Мороженое Б.Ю.Александров Пломбир ванильный эскимо в темном шоколаде 80г,"37,9 /шт"
9,Мороженое Инмарко Джемка эскимо в глазури с йогуртом со смородиной 8% 57г,"87,9 /шт"
10,Мороженое Зеленая Линия пломбир соленая Карамель 15% 75г,"270,9 /шт"
11,Мороженое Коровка из Кореновки Пломбир двухслойный Ванильный с черной смородиной 400г,"77,9 /шт"
12,Мороженое Свитлогорье Золотая ириска двухслойное эскимо 80г,"58,9 /шт"
13,Мороженое Петрохолод Как раньше пломбир ванильный с изюмом 90г,"84,9 /шт"
14,Мороженое Как раньше Пломбир Фисташковый в сахарном рожке 12% 100г,79 /шт
15,Мороженое Bahroma Большой Рожок Инжир с миндалем 105г,"90,9 /шт"
16,Мороженое Oreo Эскимо с печеньем 20% 56г,"104,9 /шт"
17,Мороженое Магнат Эскимо в шоколаде Брюнетка 74г,343 /шт
18,Мороженое Филевское Пломбир Малиновый трюфель 11% 550г,"93,9 /шт"
19,Мороженое Вологодский Пломбир в сахарном рожке 15% 130г,"418,9 /шт"
20,Мороженое Золотой Стандарт Пломбир с суфле и шоколадным наполнителем 12% 475г,"87,9 /шт"
21,Мороженое Вологодский Пломбир в шоколадной глазури 15% 80г,"91,9 /шт"
22,Мороженое Свитлогорье Пломбир со вкусом ваниль 105г,"77,9 /шт"
23,Мороженое Свитлогорье Пломбир двухслойный Ванильно-шоколадный эскимо в сливочной глазури 15% 80г,"85,9 /шт"
24,Мороженое Сарафаново Сахарный рожок Пломбир ванильный 15% 110г,"87,9 /шт"
25,Мороженое Вологодский пломбир с крошкой из молочного шоколада в вафельном стаканчике 15% 100г,"676,9 /шт"
26,Мороженое Чистая Линия Шоколад-Шоколадович пломбир с кусочками шоколада 12% 450г,"418,9 /шт"
27,Мороженое Айсберри Вкусландия пломбир с кленовым сиропом и грецким орехом 450г,"89,9 /шт"
28,Мороженое Kit Kat эскимо 8% 60г,"348,9 /шт"
0,Мороженое Жемчужина России Фисташка с орехами 80г,"71,9 /шт"
1,Мороженое Мишка на Полюсе Пломбир Брикет 80г,50 /шт
2,Мороженое Караван Эскимо шоколадное 70г,43 /шт
3,Мороженое Вологодский пломбир Шоколадный 12% 250г,"194,9 /шт"
4,Мороженое Чистая Линия Сахарный рожок пломбир шоколадный 12% 110г,"174,9 /шт"
5,Мороженое Свитлогорье пломбир с ароматом ванили 15% 500г,"418,9 /шт"
6,Мороженое Инмарко Лама молочное с кусочками печенья 65г,"59,9 /шт"
7,Мороженое Зеленая Линия сливочное Фундучно-шоколадное Джиандуйя 75г,"99,9 /шт"
8,Мороженое Мишка на Полюсе Пломбир в шоколадной глазури 70г,"55,9 /шт"
9,Мороженое Магнат Руби сливочное с белым шоколадом и малиновым наполнителем 8% 70г,"99,9 /шт"
10,Мороженое Мишка на Полюсе Пломбир Черника и Голубика 450г,299 /шт
11,Мороженое Айсберри Ленинградское 80г,"59,9 /шт"
12,Мороженое Dessert Fantasy Чарующая Венеция 12% 400г,"268,9 /шт"
13,Мороженое Бон Пари Ягодный десерт Кошмарики 60.3г,"87,9 /шт"
14,Мороженое Movenpick Сливочное Black forest cake 8.6% 300г,"629,9 /шт"
15,Мороженое 48 Копеек Пломбир с малиной 221г,"159,9 /шт"
16,Мороженое 48 копеек Пломбир ванильный 348г,"228,9 /шт"
17,Сорбет Зеленая Линия Манго-груша 75г,"119,9 /шт"
18,Мороженое Movenpick Пломбир Cookies & caramel 12.7% 298г,"629,9 /шт"
19,Мороженое Чистая Линия Кактус пломбир с клубникой в глазури 80г,"128,9 /шт"
20,Мороженое Б.Ю.Александров Пломбир Тирамису 80г,"122,9 /шт"
21,Мороженое 48 Копеек Пломбир с малиной в вафельном стаканчике 91г,"79,9 /шт"
22,Мороженое Магнат Мини красные ягоды шоколадный трюфель 288г,"360,9 /шт"
23,Мороженое Kiss me Итальянский малиновый пай 12% 125г,"129,9 /шт"
24,Мороженое 48 Копеек Сахарный рожок Пломбир Черная смородина 111г,"109,9 /шт"
25,Мороженое Чистая Линия Семейное Пломбир без сахара с медом 450г,"652,9 /шт"
26,Мороженое Мороженое Карелии Пломбир Ванильный в вафельном стаканчике 12% 80г,"59,9 /шт"
27,Мороженое Зеленая Линия сливочное Клубника со сливками 10% 75г,"99,9 /шт"
28,Мороженое Dessert Fantasy Пломбир Фисташка и миндаль 12% 450г,"468,9 /шт"
29,Мороженое Movenpick Пломбир Mango & cream 12.7% 281г,"623,9 /шт"
0,Мороженое Мишка на Полюсе Пломбир 450г,287 /шт
1,Мороженое Чистая Линия Семейное Пломбир Шоколадный 12% 450г,"498,9 /шт"
2,Мороженое Мишка на Полюсе Сахарный стаканчик Пломбир 70г,46 /шт
3,Мороженое Kiss me Французское клубничное суфле с зефиром 12% 125г,"129,9 /шт"
4,Мороженое Б.Ю.Александров Рожок Пломбир фисташковый с малиной 70г,"111,9 /шт"
5,Мороженое Петрохолод Как раньше пломбир ванильный с черной смородиной 400г,"298,9 /шт"
6,Мороженое Чистая Линия Веселый кактус ананасовый 80г,"124,9 /шт"
7,Десерт Icecro Кокос взбитый безлактозный 75г,"130,9 /шт"
8,Шербет Natur Ice Смусси Манго в пломбире 70г,"69,9 /шт"
9,Мороженое 48 Копеек Шоколадное сливочное 88г,"63,9 /шт"
10,Мороженое Чистая Линия Пломбир ванильный 70г,"130,9 /шт"
